Name,Price,Location,Mileage,URL
2005 Lexus IS 300 Sedan 4D,"$5,200","Queens Village, NY",116K miles,https://www.facebook.com/marketplace/item/1461360914498151/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2003 Acura rsx Sport Coupe 2D,"$4,500","Staten Island, NY",150K miles,https://www.facebook.com/marketplace/item/268596882966861/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1997 Honda del sol Si Coupe 2D,"$4,600","Elizabeth, NJ",175K miles,https://www.facebook.com/marketplace/item/391111160583753/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Honda accord LX-S Coupe 2D,"$6,995","Little Ferry, NJ",140K miles,https://www.facebook.com/marketplace/item/1540588523557269/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Honda civic EX Coupe 2D,"$4,300","Totowa, NJ",135K miles,https://www.facebook.com/marketplace/item/727856606089195/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Honda accord,"$3,000","Bridgeport, CT",76K miles,https://www.facebook.com/marketplace/item/446840584495727/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2000 Honda civic EX Coupe 2D,"$3,500","Wading River, NY",145K miles,https://www.facebook.com/marketplace/item/1483703935512964/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Scion Hatchback Coupe 2D,"$4,999","Corona, NY",139K miles,https://www.facebook.com/marketplace/item/407485745574383/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Honda civic DX Sedan 4D,"$5,100","Hauppauge, NY",106K miles,https://www.facebook.com/marketplace/item/756461636664457/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Honda civic EX,"$3,000","Somerville, NJ",52K miles,https://www.facebook.com/marketplace/item/3369311470034874/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1993 Honda civic EX Coupe 2D,"$6,000","Clifton, NJ",120K miles,https://www.facebook.com/marketplace/item/1165758301069496/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Honda accord EX-L Sedan 4D,"$5,900","Glen Cove, NY",148K miles,https://www.facebook.com/marketplace/item/1085254909226784/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Honda civic,"$1,000","Passaic, NJ",63K miles,https://www.facebook.com/marketplace/item/954668819497733/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Nissan altima 3.5 SR Coupe 2D,"$4,700","East Orange, NJ",160K miles,https://www.facebook.com/marketplace/item/1567842600743758/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
